Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    15
  15,      2.013,       3614,         83,       6.45
  16,      2.307,       6817,        104,      14.14
  17,      2.622,       4656,        104,       4.71
  18,      2.957,      27086,        313,      21.16
  19,      3.313,     106184,        368,      28.53
  20,      3.691,      13334,        184,      52.80
  22,      4.509,        497,         99,       1.65
  24,      5.412,       1025,        123,       2.11
  25,      5.895,       2782,        139,       1.91
  26,      6.399,       9966,        175,       8.33
  27,      6.925,       2305,        154,       5.94
  28,      7.472,       2035,        247,       3.76
  29,      8.041,       1686,        259,       1.86
  30,      8.631,       2712,        262,       1.74
  47,      2.984,      19120,        205,      42.04
