Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    15
  15,      2.013,       2490,         74,      10.50
  16,      2.307,       5127,         93,      11.25
  17,      2.622,       3703,         96,       3.56
  18,      2.957,      21646,        282,      18.04
  19,      3.313,      80536,        323,      19.40
  20,      3.691,      11741,        168,      37.19
  22,      4.509,        459,         91,       0.69
  24,      5.412,        811,        110,       2.17
  25,      5.895,       1972,        124,       3.11
  26,      6.399,       9505,        163,       3.51
  27,      6.925,       1982,        140,       5.11
  28,      7.472,       1803,        225,       3.50
  29,      8.041,       1639,        237,       1.93
  30,      8.631,       2331,        241,       1.14
  47,      2.984,      15420,        184,      37.01
