Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    15
  15,      2.013,       3427,         82,      10.35
  16,      2.307,       6182,        101,      19.09
  17,      2.622,       4405,        102,       5.09
  18,      2.957,      26535,        310,      20.79
  19,      3.313,     103432,        363,      30.46
  20,      3.691,      13307,        181,      50.88
  22,      4.509,        347,         96,       1.29
  24,      5.412,        842,        120,       1.79
  25,      5.895,       2593,        135,       3.53
  26,      6.399,      10368,        173,       6.85
  27,      6.925,       2247,        150,       4.69
  28,      7.472,       1849,        238,       2.48
  29,      8.041,       1538,        249,       2.08
  30,      8.631,       2394,        251,       0.91
  47,      2.984,      18767,        203,      40.02
