Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    19
  15,      2.013,        623,         65,       1.35
  16,      2.307,       8499,        113,      21.91
  17,      2.622,      17675,        155,      15.87
  18,      2.957,      11742,        245,      21.64
  19,      3.313,      70698,        306,      16.89
  20,      3.691,     172272,        408,       8.90
  22,      4.509,        457,         68,       1.09
  24,      5.412,        297,         79,       1.46
  25,      5.895,       3434,        104,       1.40
  26,      6.399,       7607,        127,       2.51
  27,      6.925,        874,        102,       3.26
  28,      7.472,       1081,        168,       1.75
  29,      8.041,        659,        171,       1.35
  30,      8.631,        972,        182,       1.27
  34,     11.208,        556,        189,       2.53
  35,     11.908,      24205,        244,       3.02
  38,     14.142,       1428,        176,       0.70
  47,     22.103,        622,        105,       0.90
  47,      2.984,      12733,        170,      27.35
