Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    18
  14,      1.740,        228,         42,       3.47
  15,      2.013,        710,         55,       1.96
  16,      2.307,       2635,         75,       2.48
  17,      2.622,      26696,        172,      26.63
  18,      2.957,      15407,        247,      26.11
  19,      3.313,      60088,        281,      12.61
  20,      3.691,      21638,        182,      21.75
  22,      4.509,        757,         79,       1.18
  24,      5.412,        563,         92,       1.03
  25,      5.895,       2098,        106,       2.45
  26,      6.399,      59488,        259,       1.27
  27,      6.925,       1081,        114,       1.64
  28,      7.472,       1010,        169,       1.06
  30,      8.631,        661,        165,       0.59
  37,     13.375,        508,        151,       1.28
  47,     22.103,        389,         87,       0.97
  47,      2.984,      11409,        161,      28.13
  64,      6.054,        888,        152,       4.91
