Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    18
  14,      1.740,        500,         42,       1.91
  15,      2.013,        482,         48,       2.11
  16,      2.307,       2530,         70,       1.98
  17,      2.622,      13423,        129,      10.17
  18,      2.957,      16651,        241,      12.54
  19,      3.313,      40276,        238,      17.08
  20,      3.691,      15126,        157,      18.14
  22,      4.509,        792,         76,       1.64
  24,      5.412,        521,         88,       1.58
  25,      5.895,       1309,         98,       2.45
  26,      6.399,      18954,        169,       1.47
  27,      6.925,        961,        107,       0.97
  28,      7.472,        766,        162,       1.26
  30,      8.631,        466,        165,       1.60
  37,     13.375,        631,        147,       1.12
  47,     22.103,        297,         86,       0.72
  47,      2.984,       9824,        151,      23.00
  64,      6.054,        743,        145,       4.66
