Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    17
  14,      1.740,        562,         44,       3.72
  15,      2.013,        514,         48,       1.21
  16,      2.307,       2950,         72,       3.72
  17,      2.622,      14843,        134,      11.50
  18,      2.957,      19694,        256,      14.11
  19,      3.313,      46564,        254,      15.00
  20,      3.691,      11602,        150,      24.70
  22,      4.509,        498,         79,       1.71
  24,      5.412,        476,         91,       0.77
  25,      5.895,       1556,        102,       1.30
  26,      6.399,      12642,        151,       2.76
  27,      6.925,        701,        105,       0.92
  28,      7.472,        795,        164,       2.69
  37,     13.375,        540,        153,       0.70
  47,     22.103,        298,         98,       1.43
  47,      2.984,      10582,        159,      26.79
  64,      6.054,        734,        149,       2.59
