Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    18
  14,      1.740,        825,         50,       4.32
  15,      2.013,        624,         54,       2.16
  16,      2.307,       2908,         77,       3.41
  17,      2.622,      18543,        149,      17.74
  18,      2.957,      17051,        251,      13.02
  19,      3.313,      56900,        274,      14.37
  20,      3.691,      16440,        168,      24.41
  22,      4.509,        911,         81,       1.26
  24,      5.412,        630,         95,       0.71
  25,      5.895,       1933,        108,       1.60
  26,      6.399,      45750,        235,       1.12
  27,      6.925,       1098,        119,       1.61
  28,      7.472,        893,        174,       2.05
  30,      8.631,        743,        178,       0.73
  37,     13.375,        833,        166,       1.10
  47,     22.103,        251,        101,       0.89
  47,      2.984,      11377,        161,      24.96
  64,      6.054,        950,        157,       3.68
