Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    18
  14,      1.740,        285,         44,       1.94
  15,      2.013,        718,         58,       1.75
  16,      2.307,       2943,         80,       1.79
  17,      2.622,      28125,        177,      29.93
  18,      2.957,      14121,        244,      21.70
  19,      3.313,      58977,        279,      15.78
  20,      3.691,      23103,        186,      21.60
  22,      4.509,        899,         82,       1.40
  24,      5.412,        835,         95,       0.81
  25,      5.895,       4619,        120,       1.32
  26,      6.399,      55106,        253,       2.63
  27,      6.925,       1251,        118,       1.40
  28,      7.472,       1027,        175,       1.98
  30,      8.631,        786,        172,       1.09
  37,     13.375,        624,        159,       0.75
  47,     22.103,        348,         92,       1.16
  47,      2.984,      11908,        162,      26.25
  64,      6.054,        953,        156,       4.47
