Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    18
  14,      1.740,        413,         45,       3.39
  15,      2.013,        747,         57,       1.78
  16,      2.307,       2667,         77,       2.26
  17,      2.622,      30755,        183,      32.32
  18,      2.957,      12758,        238,      27.34
  19,      3.313,      69279,        296,      14.45
  20,      3.691,      18685,        176,      23.68
  22,      4.509,        687,         77,       1.11
  24,      5.412,        520,         89,       1.95
  25,      5.895,       2609,        107,       1.96
  26,      6.399,      36161,        213,       1.33
  27,      6.925,       1023,        110,       1.43
  28,      7.472,        957,        170,       1.20
  30,      8.631,        627,        167,       1.13
  37,     13.375,        628,        150,       1.45
  47,     22.103,        397,         85,       1.07
  47,      2.984,      11700,        161,      32.37
  64,      6.054,        793,        150,       4.45
