Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    18
  14,      1.740,         37,         39,       4.67
  15,      2.013,        642,         55,       1.03
  16,      2.307,       2446,         76,       0.46
  17,      2.622,      27237,        174,      27.08
  18,      2.957,      14280,        244,      21.03
  19,      3.313,      70338,        298,      14.41
  20,      3.691,      15100,        167,      23.64
  22,      4.509,        277,         78,       1.14
  24,      5.412,        467,         94,       1.19
  25,      5.895,       2215,        110,       1.90
  26,      6.399,      33826,        211,       2.46
  27,      6.925,       1109,        120,       2.25
  28,      7.472,       1212,        181,       2.37
  30,      8.631,        896,        187,       1.05
  37,     13.375,        777,        164,       0.63
  47,     22.103,        327,         93,       0.92
  47,      2.984,      11909,        163,      25.93
  64,      6.054,       1062,        159,       3.95
